IDJwb,IDPSJ,Cosim-Unigram,Cosim-Bigram,TypeTokenRatio,WordCountRatio,labela,label
651,10,0.381631772,0.098358355,1,0.949844803,E,1
653,10,0.220688451,0.047393139,0.75,0.933829481,E,1
660,10,0.429048925,0.094256224,0.76,0.789768309,D,2
661,10,0.526917179,0.178249649,0.658536585,0.263198162,D,2
636,10,0.080020171,0,1,0.981486867,C,3
646,10,0.275802662,0.05578344,0.723404255,0.128782726,C,3
650,10,0.652158293,0.138378432,0.506329114,0.001334788,B,4
654,10,0.354898094,0.066699555,0.64516129,0.016021901,B,4
645,10,0.712671865,0.133058192,0.591836735,0.099223494,A,5
652,10,0.559220818,0.163216014,0.630769231,0.010365799,A,5
766,11,0.529884353,0.06553921,0.9,0.971513137,E,1
767,11,0,0,1,0.992255065,E,1
781,11,0.864560187,0.475547955,0.52,0.789768309,D,2
782,11,0.959933075,0.891092471,0.636363636,0.85379806,D,2
760,11,0.905609023,0.758558719,0.46875,0.573003901,C,3
763,11,0.970606037,0.932177263,0.590909091,0.85379806,C,3
773,11,1,1,0.441176471,0.5,B,4
774,11,1,1,0.441176471,0.5,B,4
757,11,0.983795668,0.934277873,0.4,0.463301408,A,5
758,11,0.901753914,0.434098676,0.433333333,0.642960138,A,5
