IDJwb,IDPSJ,Cosim-Unigram,Cosim-Bigram,TypeTokenRatio,WordCountRatio,labela,label
1,1,1,1,0.705882353,0.5,A,5
2,1,0.022068965,0,0.727272727,0.85379806,C,3
3,1,0.386924477,0.040003984,0.777777778,0.165529625,A,5
4,1,0.240350186,0.114623566,0.785714286,0.949844803,D,2
5,1,0.454728478,0.119899724,0.6,0.165529625,A,5
6,1,0.241041694,0.019614801,0.557692308,0.066170519,A,5
7,1,0.534702278,0.087728795,0.465116279,0.210231691,A,5
8,1,0.247438766,0.020044673,0.440677966,0.024687266,A,5
9,1,0.419438156,0.052888091,0.892857143,0.707309571,A,5
10,1,0.25610024,0.035679045,0.507246377,0.005782851,A,5
11,1,0.300249627,0.050875102,0.529411765,0.5,A,5
12,1,0.344748874,0.030842908,0.675675676,0.391460676,A,5
13,1,0.496949321,0.102017935,1,0.991039091,D,2
14,1,0.093836451,0,0.769230769,0.956404846,A,5
15,1,0,0,0.769230769,0.956404846,A,5
16,1,0.580142838,0.137070202,0.625,0.978616692,B,4
17,1,0.070731132,0,1,0.978616692,D,2
18,1,0.076785811,0,0.703703704,0.764312613,C,3
19,1,0.386364259,0.032194945,0.673076923,0.066170519,A,5
20,1,0.054763237,0,0.416666667,0.426996099,A,5
21,1,0.038304065,0,0.785714286,0.707309571,C,3
22,1,0.356537119,0,0.75,0.962141067,C,3
23,1,0.469176865,0.116389731,0.727272727,0.536698592,A,5
24,1,0.246428884,0.040103387,0.508474576,0.024687266,A,5
25,1,0.399916515,0.07901243,0.694444444,0.426996099,A,5
26,1,0.246690553,0.041181035,1,0.971513137,A,5
27,1,0.446085341,0.088895626,0.5,0.642960138,A,5
28,1,0.373968454,0.03356557,0.595744681,0.128782726,A,5
29,1,0.308392786,0.046455676,0.632653061,0.099223494,A,5
30,1,0,0,1,0.989634201,E,1
31,1,0.580142838,0.136791936,0.625,0.978616692,B,4
32,1,0.617548689,0.123672594,0.75,0.962141067,B,4
33,1,0.013531036,0.019403186,0.71875,0.573003901,C,3
34,1,0.580142838,0.136791936,0.75,0.962141067,B,4
35,1,0,0,0.8,0.971513137,C,3
36,1,0.362212083,0.163448867,0.571428571,0.013861168,A,5
37,1,0.218117759,0.008430514,0.612244898,0.099223494,B,4
38,1,0.445165431,0.130592518,0.620689655,0.675965953,A,5
39,1,0.007305802,0,0.684210526,0.900776506,C,3
40,1,0,0,1,0.992255065,E,1
41,1,0.399196387,0.044697107,0.444444444,0.003727677,B,4
42,1,0.038727225,0,0.756756757,0.391460676,C,3
43,1,0.341550076,0.035243828,0.703703704,0.736801838,A,5
44,1,0.043070924,0,0.742857143,0.463301408,C,3
45,1,0.580142838,0.137070202,0.75,0.962141067,B,4
46,1,0.535985719,0.064277554,0.705882353,0.92414182,A,5
47,1,0.403419831,0.042302533,0.646153846,0.010365799,A,5
48,1,0.025179131,0,0.642857143,0.357039862,C,3
49,1,0.438789197,0.053565991,0.625,0.978616692,B,4
50,1,0.382424911,0.021106147,0.373134328,0.007744935,A,5
51,1,0.051642748,0.012944152,0.507042254,0.004315675,A,5
52,1,0,0,0.8125,0.933829481,C,3
53,1,0.42585978,0.047047914,0.541176471,0.000552779,A,5
54,1,0,0,1,0.983978099,D,2
55,1,0.020706557,0,0.9,0.971513137,C,3
56,1,0.033189895,0,0.947368421,0.900776506,C,3
57,1,0.591670933,0.103710614,0.785714286,0.949844803,B,4
58,1,0.542922257,0.12237294,0.53125,0.573003901,A,5
59,1,0.539569231,0.069604902,0.518518519,0.086832276,A,5
60,1,0.283559315,0.040862047,0.663793103,5.79E-06,A,5
61,1,0,0,0.75,0.978616692,E,1
62,1,0.44360286,0.07379606,0.846153846,0.956404846,C,3
63,1,0,0,0.705882353,0.92414182,C,3
64,1,0.279590315,0,0.492537313,0.007744935,A,5
65,1,0.027869737,0,0.62962963,0.736801838,C,3
66,1,0.467937871,0.095796057,0.485714286,0.463301408,B,4
67,1,0.07550682,0.027626129,0.702702703,0.391460676,C,3
68,1,0.449441638,0.050416201,0.615384615,0.001545921,A,5
69,1,0.402124919,0.054121091,0.636363636,0.85379806,A,5
70,1,0.088054683,0,0.954545455,0.85379806,E,1
71,1,0.580142838,0.138430921,0.625,0.978616692,B,4
72,1,0.02297169,0,0.8,0.789768309,C,3
73,1,0.584990476,0.141820495,0.4,0.001152457,A,5
74,1,0.617548689,0.123672594,0.75,0.962141067,B,4
75,1,0.046313566,0,0.9375,0.933829481,C,3
76,1,0,0,0.818181818,0.967148446,C,3
77,1,0.12366486,0,0.675675676,0.391460676,C,3
78,1,0.022682878,0,0.833333333,0.962141067,C,3
79,1,0.436837093,0.022951828,0.625,0.978616692,B,4
80,1,0.008570339,0,0.9375,0.933829481,C,3
81,1,0,0,0.888888889,0.913167724,C,3
82,1,0.246690553,0.041181035,1,0.971513137,A,5
83,1,0.363670008,0.049913768,0.50877193,0.032851554,A,5
84,1,0.27970508,0.056562334,0.619047619,0.235687387,A,5
85,1,0.45387097,0.047747828,0.692307692,0.764312613,B,4
86,1,0.009684706,0,0.888888889,0.92414182,C,3
87,1,0.613181803,0.109112191,0.433962264,0.057642876,A,5
88,1,0,0,1,0.992255065,E,1
89,1,0.340815963,0.034212373,0.525641026,0.001545921,A,5
90,1,0.373891121,0.046114862,0.576923077,0.764312613,A,5
91,1,0,0,1,0.992255065,E,1
92,1,0.363692317,0,0.666666667,0.989634201,E,1
93,1,0.011755065,0,0.857142857,0.981486867,E,1
94,1,0,0,1,0.975312734,E,1
95,1,0.020015371,0,0.9,0.971513137,E,1
96,1,0.021998918,0,0.916666667,0.813146778,D,2
97,1,0.111191719,0,0.9,0.886836156,D,2
98,1,0.18260812,0.021908654,0.9,0.971513137,D,2
99,1,0.177843207,0,0.916666667,0.962141067,D,2
100,1,0.186569752,0,0.909090909,0.85379806,D,2
101,1,0.164825122,0.016946857,1,0.933829481,D,2
102,2,0.173850475,0.032992979,0.928571429,0.949844803,E,1
103,2,0.121226412,0.023973592,0.833333333,0.642960138,E,1
104,2,0.368564418,0.216774941,0.736842105,0.426996099,B,4
105,2,0.331510353,0.139506906,0.896551724,0.675965953,B,4
106,2,0.105824125,0.019908998,0.75,0.292690429,E,1
107,2,0.178149651,0.053472974,0.888888889,0.913167724,D,2
108,2,0.119825059,0.024247659,0.9,0.886836156,D,2
109,2,0.145944317,0.026788722,1,0.933829481,D,2
110,2,0.411873577,0.166618826,0.818181818,0.536698592,D,2
111,2,0.148514331,0.074368894,0.685714286,0.463301408,E,1
112,2,0.097769536,0.056350719,0.644444444,0.165529625,B,4
113,2,0.112553224,0.020629848,0.763157895,0.357039862,E,1
114,2,0.07397667,0.016289892,0.74,0.086832276,E,1
