IDJawaban,IDSoal,Soal,Kunci Jawaban,Jawaban,Nilai,Nilai Max,Nilai Akhir,Grade
01001,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,untuk mengetahui data-data yang tersimpan.,10,33.33,3,E
01002,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,orang yang sedang menganalisis data yang digunakan agar orang tersebut dapat melakukan sesuatu dengan benar,16.67,33.33,5,D
01003,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,Mendeskripsikan dan menganalisis secara rinci tentang suatu data tertentu,16.67,33.33,5,D
01004,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,Proses pengumpulan dan pengorganisasian data agar untuk menarik kesimpulan yang berguna dari data tersebut,33.33,33.33,10,A
01005,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,Analisis data adalah melihat informasi kemudian menarik kesimpulan dari data tersebut.,30,33.33,9,A
01006,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,Yang dimaksud dengan analisis data adalah dapat melakukan/memeriksa suatu data yang dikerjakan agar isi dari data tersebut jelas benar dan juga data berisi dengan lengkap,23.33,33.33,7,C
01007,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,Kosong,0,33.33,0,E
01008,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,"ANALISI DATA adalah menggunakan suatu data untuk _mencari kesamaan, kecenderungan, perbedaan, dan kekurangan_. sehingga dapat memberi kesimpulan pada data tersebut.",33.33,33.33,10,A
01009,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,ANALISIS DATA adalah proses pengumpulan dan pengorganisasi data untuk menarik kesimpulan yang benar dari data tersebut.,33.33,33.33,10,A
01010,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,Analisis data adalah proses merangkum data sehingga mudah dimengerti isinya. Tujuan analisis data adalah agar bisa mengetahui informasi tertentu agar kita bisa membuat keputusan/keismpulan yang lebih baik.,26.67,33.33,8,B
01011,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,Proses pengumpulan data untuk menarik kesimpulan yang berguna dari data tersebut,33.33,33.33,10,A
01012,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,"Kegiatan mencari data, varietas, informasi, tren, untuk mengambil keputusan akhir yang tepat.",23.33,33.33,7,C
01013,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,proses pengumpulan dan pengorganisasian data untuk menarik kesimpunan yang berguna dari data tersebut,33.33,33.33,10,A
01014,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,analasis data adalah proses pencarian data dan untuk menganalisis data,16.67,33.33,5,D
01015,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,Analisi data adalah suatu kegiatan yang ditujukan untuk menganalisis suatu data agar kita dapat melihat apa saja yang ada di dalam data tersebut,16.67,33.33,5,D
01016,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,Analisi data adalah Data untuk menyimpan data yang ketika ingin di simpan seperti Documen,13.33,33.33,4,E
01017,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,Analisis data adalah mengumpulkan data dan menyaringnya untuk menarik kesimpulan,33.33,33.33,10,A
01018,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,"Yang dimaksud analisi data adalah mengumpulkan informasi sesuatu benda, lalu menjadikannya poin poin berupa kesimpulan yang terbilang lebih singkat",26.67,33.33,8,B
01019,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,Analisis Data adalah fakta atau data yang dikumpulkan lalu dianalisis agar dapat disimpulkan.,33.33,33.33,10,A
01020,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,Analisis data adalah dimana kita mengamati dan menganalis data yang terbentuk dari kode-kode tertentu yang dapat berupa tabel agar dapat dipahami dengan mudah.,23.33,33.33,7,C
01021,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,"Kita mencocok kan data atau melihat data jika ada yang sama,tertukar terbalik,DLL",16.67,33.33,5,D
01022,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,Pengumpulan data yang akan dijadikan sesuatu bermakna untuk menarik kesimpulan,33.33,33.33,10,A
01023,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,mencari dan mengumpulkan informasi-informasi dari data untuk dibuat kesimpulan.,33.33,33.33,10,A
01024,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,menganalisis data yang belum di analisis seperti nilai,13.33,33.33,4,E
01025,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,"analisis data adalah suatu pemograman data, yang nanti nya menampilkan suatu hasil analisis data, sehingga kita dapat mengetahui mana data yang benar dan data yang tak benar",20,33.33,6,C
01026,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,Analisis data merupakan pencarian data,16.67,33.33,5,D
01027,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,analisis data adalah suatu pemerograman yang memprogram data sehingga menghasilkan suatu data yang valir,16.67,33.33,5,D
01028,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,Analisis Data adalah=proses untuk memberikan kesan kepada data dan analisis data juga biasanya digunakan dalam pemograman komputer.,16.67,33.33,5,D
01029,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,"analisi data adalah kita melihat apakah dari tujuan kita,kita menganalisi datanya sudah benar apa belum kalau sudah oke kalau belum sesuai tujuan diperbaikin lagi.",13.33,33.33,4,E
01030,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,Analisis data adalah pengelolaan data atau menganalisis data secara teliti untuk mencari pola dan kesan tertentu yang bisa didapat.,23.33,33.33,7,C
01031,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,Menganalisis sesuatu data agar kita bisa menyimpulkan dengan benar.,23.33,33.33,7,C
01032,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,proses pengumpulan dan pengorganisasian data untuk menarik kesimpulan yang berguna,33.33,33.33,10,A
01033,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,proses pengambilan data dan merangkum data untuk lebih mudah dipahami dan dimengerti,16.67,33.33,5,D
01034,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,kegiatan untuk mencari keputusan atau kesimpulan yang tepat,16.67,33.33,5,D
01035,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,analisis data adalah program yang mengecek atau menganalisis data yang kita buat,16.67,33.33,5,D
01036,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,"analisis data adalah proses pencarian dan percernaan data untuk menemuka informasi dari data data yang akan dicaridalam pencarian data, kita harus fokus dengan tujuan kita yaitu menganalisis sebuah data yang akan kita cerna dan kita cari tau informasinya dan pada akhirnya informasi informasi itu akan dikumpulkan menjadi sebuah data",16.67,33.33,5,D
01037,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,Analisi data adalah mencari informasi dari data yang telah kita temukan.,13.33,33.33,4,E
01038,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,analisis data adalah suatu soal untuk mencari dan mengetahui suatu materi,10,33.33,3,E
01039,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,Mencari informasi dari data yang telah kita buat.,10,33.33,3,E
01040,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,33.33,33.33,10,A
01041,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,"menganlisis data secara kesuluruhan dan menyimpulkan data yang yang penting, salah, dan yang harus diperbaiki",33.33,33.33,10,A
01042,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,proses pengumpulan data atau pengorganisasian data untuk menarik kesimpulan yang berguna dari data tersebut,33.33,33.33,10,A
01043,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,1. Mengecek sesuatu data dengan benar,16.67,33.33,5,D
01044,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,analisis data adalah kegiatan menganalisis suatu program dan menyaring kebenarannya,16.67,33.33,5,D
01045,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,Analisis data adalah proses pengumpulan atau pengorganisasian data untuk menarik kesimpulan yang berguna dari data tersebut. Atau kita juga bisa menggunakan hasil analisis tersebut sebagai hasil untuk pilihan atau tujuan,33.33,33.33,10,A
01046,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,Mencari dan mengumpulkan data,16.67,33.33,5,D
01047,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,Analisis data merupakan : Proses pengumpulan dari berbagai data yang ada menjadi satu bagian yang berguna untuk kita gunakan karena sudah berupa kesimpulan dari semua data yang ada.,33.33,33.33,10,A
01048,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,Proses pengumpulan dan pengorganisasian data untuk menarik kesimpulan yang berguna dari data tersebut.,33.33,33.33,10,A
01049,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,proses pengumpulan dan pengorganisasian data untuk menarik kesimpulan yg berguna,33.33,33.33,10,A
01050,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,analisis data adalah menyimpulkan atau menganalisis data menjadi suatu data dan sebagai penentuan suatu data untuk dibuat menjadi data yang benar,23.33,33.33,7,C
01051,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,Analisis data adalah menarik kesimpulan yang berguna dari suatu data.,23.33,33.33,7,C
01052,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,melakukan analisi data data,13.33,33.33,4,E
01053,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,Analisis data adalah suatu proses yang dilakukan untuk menganalisis suatu data atau mencari kesimpulan sehingga dapat menyimpulkan isi dan menemukan makna dari data tersebut.,33.33,33.33,10,A
01054,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,Analisis data adalah saat kita menganalisa data-data sehingga kita dapat mengetahui kebenarannya dan kita dapat menarik kesimpulan setelah kita menganalisa data tersebut.,20,33.33,6,C
01055,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,Menentukan makna yang yang berguna dan informasi terpercaya secara singkat dan jelas,13.33,33.33,4,E
01056,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,"menganalisa data adalah pengecekan pada data yang ingin di analisa, di lakukannya analisa di lakukan untuk menghindari ada nya kekeliruan pada data yang ingin kita cek, dan analisa di lakukan untuk mencari kesimpulan pada sebuah data.",16.67,33.33,5,D
01057,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,analisis data adalah pengecekan pada data yang ingin di analisi dan disimpulkan,26.67,33.33,8,B
01058,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,menganalisa samapai mendapat jawaban dari kesimpulan dan mendapat kan hasil yang diiinginkan,23.33,33.33,7,C
01059,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,"Analisis data adalah pencarian kecocokan,perbedaan,dll di dalam data secara mendalam untuk mendapatkan kesimpulan.",23.33,33.33,7,C
01060,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,analisis data adalah informasi yang kita dapatkan lalu kita jadikan sebuah data,20,33.33,6,C
01061,01,Jelaskan apa yang dimaksud dengan Analisis data !,Analisis data adalah proses pegamatan atau pengorganisasian terhadap data data yang penting untuk pengambilan kesimpulan ataupun keputusan.,Analisis data berguna untuk menyatukan kumpulan kumpulan hasil analisis menjadi sebuah data,16.67,33.33,5,D
