IDJwb,IDPSJ,questions,answerKeys,answer,raw_grade,max_grade,grade,labela,label
1,01,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.; ; Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.; ; Olah raga = Memiliki sifat dan mental yang kuat.; ; Olah hati dan karsa = Kreatif dalam melakukan sesuatu.,Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.; ; Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.; ; Olah raga = Memiliki sifat dan mental yang kuat.; ; Olah hati dan karsa = Kreatif dalam melakukan sesuatu.,50,50,10.00,A,5
2,01,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.; ; Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.; ; Olah raga = Memiliki sifat dan mental yang kuat.; ; Olah hati dan karsa = Kreatif dalam melakukan sesuatu.,KARAKTER SALING MENOLONG; KARAKTER YANG MAU SALING BEKERJA SAMA; KARAKTER YANG PEDULI TERHADAP PENDERITAAN ORANG LAIN; KARAKTER YANG MEMENTINGKAN SIKAP RELA BERKORBAN,30,50,6.00,C,3
3,01,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.; ; Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.; ; Olah raga = Memiliki sifat dan mental yang kuat.; ; Olah hati dan karsa = Kreatif dalam melakukan sesuatu.,"1. olah hati adalah karakter yang penuh rasa damai dan cinta untuk mewujudkan kehidupan yang harmonis; 2. olah pikir adalah proses pikiran dalam menyelesaikan masalah; 3.olah karsa adalah suatu kepedulian terhadap sesama; 4. olah raga adalah proses persepsi, kesiapan, manipulasi dan penciptaan aktivitas baru",50,50,10.00,A,5
4,01,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.; ; Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.; ; Olah raga = Memiliki sifat dan mental yang kuat.; ; Olah hati dan karsa = Kreatif dalam melakukan sesuatu.,Revolusi mental; yang berarti kita harus memiliki mental yang kuat untuk membangun negara kita;                                      ,20,50,4.00,D,2
5,01,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.; ; Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.; ; Olah raga = Memiliki sifat dan mental yang kuat.; ; Olah hati dan karsa = Kreatif dalam melakukan sesuatu.,1. Olah raga : memiliki karakter yang kuat; 2. Olah rasa dan karsa : karakter yang memiliki perasaan dan simpati; 3. Olah hati : karakter yang memiliki hati yang lembut dan mau menerima saran orang lain; 4. Olah pikir : karakter yang memiliki pemikiran yang maju untuk menyelesaikan masalah,50,50,10.00,A,5
6,01,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.; ; Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.; ; Olah raga = Memiliki sifat dan mental yang kuat.; ; Olah hati dan karsa = Kreatif dalam melakukan sesuatu.,"1. Karakter biru/ olah tubuh; membuat kerja sama menjadi lebih bersemangat, biasanya olah tubuh/ karakter biru dimiliki oleh seorang atlet; ; 2. Karakter merah/ olah hati; membuat kerja sama menjadi lebih menyenangkan; ; 3. Karakter kuning/ olah rasa; membuat kerja sama semakin berhasil; ; 4. Karakter hijau/ olah pikir; membuat kerja sama menjadi lebih terencana",50,50,10.00,A,5
7,01,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.; ; Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.; ; Olah raga = Memiliki sifat dan mental yang kuat.; ; Olah hati dan karsa = Kreatif dalam melakukan sesuatu.,olah hati; olah hati memiliki karakter yang lembut hati; olah raga; olah raga memiliki karakter yang sangat aktif dalam kerja sama atau gotong royong; olah pikir; olah pikir memiliki karakter yang bijaksana dan teliti; olah rasa; olah rasa memiliki karakter yang sangat berhati-hati,50,50,10.00,A,5
8,01,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.; ; Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.; ; Olah raga = Memiliki sifat dan mental yang kuat.; ; Olah hati dan karsa = Kreatif dalam melakukan sesuatu.,olah hati adalah perasaan untuk mau menollong sesama dan bekerja sama/ bergotong royong.; ; olah rasa adalah mau merasakan kondisi yang sama saat bekerja sama contoh saat kita bekerja sama tapi gagal kita harus mau merasakan kegagalan.; ; olah pikir adalah pikiran kita untuk memulai dan menjalani kerja sama.; ; olah tindakan adalah tindakan yang kita lakukan saat bekerja sama/bergotong royong.,50,50,10.00,A,5
9,01,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.; ; Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.; ; Olah raga = Memiliki sifat dan mental yang kuat.; ; Olah hati dan karsa = Kreatif dalam melakukan sesuatu.,1. Olah hati ( karakter rasa damai dan cinta untuk menuju kehidupan yang harmonis ); 2. Olah karsa ( kepedulian ); 3. Olah raga ( penciptaan aktivitas baru ); 4. Olah pikir ( penyelesaian persoalan ),50,50,10.00,A,5
10,01,Ada empat macam karakter atau olah yang diusulkan oleh Ki Hajar Dewantara untuk membangun kerja sama dan gotong royong. Jelaskan karakter-karakter tersebut?,Olah pikir = Berpikiran kritis dalam segala situasi yang terjadi.; ; Olah hati = Melakukan suatu kegiatan berdasarkan hati nurani kita.; ; Olah raga = Memiliki sifat dan mental yang kuat.; ; Olah hati dan karsa = Kreatif dalam melakukan sesuatu.,1. Karakter Biru (Olah Hati)           = Karakter yang suka damai dan harmonis yang membuat kerja sama lebih mudah; 2. Karakter Hijau (Olah Pikir)          = Karakter yang teliti dan akademis yang membuat kerja sama lebih terencana; 3. Karakter kuning (Olah Raga)        = Karater yang tangguh dan disiplin yang membuat kerja sama lebih berhasil; 4. Karakter Merah (Olah Rasa dan Karsa) = Karakter yang kreatif dan komunikatif yang membuat kerja sama lebih kreatif dan menyenangkan,50,50,10.00,A,5
