IDJwb,IDPSJ,questions,answerKeys,answer,raw_grade,max_grade,grade,labela,label
102,02,Apakah perbedaan not responding dengan hang?,"Not responding berarti proses tidak merespon panggilan sistem operasi setelah batas waktu tertentu, sifatnya recoverable. Hang berarti terjadi deadlock, sifatnya non-recoverable.",not responding yaitu software mengalami kegagalan perintah sedangkan hang sistem tidak dapat menanggapi perintah,3,10,3.00,E,1
103,02,Apakah perbedaan not responding dengan hang?,"Not responding berarti proses tidak merespon panggilan sistem operasi setelah batas waktu tertentu, sifatnya recoverable. Hang berarti terjadi deadlock, sifatnya non-recoverable.","Not Responding adalah suatu keadaan dimana software yang dugunakan mengalami kegagalan perintah, sedangkan hang adalah sistem/OS yang tidak dapat menanggapi segala perintah yang dimasukkan yang mengarah pada kerusakan komputer.",3,10,3.00,E,1
104,02,Apakah perbedaan not responding dengan hang?,"Not responding berarti proses tidak merespon panggilan sistem operasi setelah batas waktu tertentu, sifatnya recoverable. Hang berarti terjadi deadlock, sifatnya non-recoverable.","- Not Responding : Sistem operasi memberikan sebuah perintah pada proses kemudian proses tersebut gagal menjalankannya dalam batas waktu tertentu.; ; - Hang : sebuah proses tidak pernah keluar dari kondisi not responding, kemudian besar terjadi deadlock kemudian proses akan hang.",8,10,8.00,B,4
105,02,Apakah perbedaan not responding dengan hang?,"Not responding berarti proses tidak merespon panggilan sistem operasi setelah batas waktu tertentu, sifatnya recoverable. Hang berarti terjadi deadlock, sifatnya non-recoverable.",Not Respon (recoverable) jika proses gagal menjalankannya dalam batas waktu tertentu (masih ada tanda akan kembali normal).; Hang (unrecoverable) Jika proses tidak pernah keluar dari kondisi not responding (gajelas).,8,10,8.00,B,4
106,02,Apakah perbedaan not responding dengan hang?,"Not responding berarti proses tidak merespon panggilan sistem operasi setelah batas waktu tertentu, sifatnya recoverable. Hang berarti terjadi deadlock, sifatnya non-recoverable.","Not Responding adalah suatu keadaan dimana software yang dugunakan mengalami kegagalan perintah, dan mengakibatkan software tersebut tidak dapat memahami apa yang diperintahkan,Sedangkan adalah suatu sistem/OS yang tidak dapat menanggapi segala perintah yang dimasukkan, tentunya mengarah pada kerusakan komputer.",3,10,3.00,E,1
107,02,Apakah perbedaan not responding dengan hang?,"Not responding berarti proses tidak merespon panggilan sistem operasi setelah batas waktu tertentu, sifatnya recoverable. Hang berarti terjadi deadlock, sifatnya non-recoverable.","Not Responding: Terjadi ketika aplikasi berhenti merespons karena kesalahan koneksi internet. Hang: tidak pernah keluar dari ""not responding"".",5,10,5.00,D,2
108,02,Apakah perbedaan not responding dengan hang?,"Not responding berarti proses tidak merespon panggilan sistem operasi setelah batas waktu tertentu, sifatnya recoverable. Hang berarti terjadi deadlock, sifatnya non-recoverable.",Not Responding: Aplikasi tidak merespons karena gangguan di RAM.Hang: Ketika program tidak bisa kembali normal berjalan di latar belakang.,5,10,5.00,D,2
109,02,Apakah perbedaan not responding dengan hang?,"Not responding berarti proses tidak merespon panggilan sistem operasi setelah batas waktu tertentu, sifatnya recoverable. Hang berarti terjadi deadlock, sifatnya non-recoverable.",Not Responding: Terjadi karena beban CPU yang terlalu tinggi.Hang: mengakibatkan sistem perlu dimatikan secara paksa.,5,10,5.00,D,2
110,02,Apakah perbedaan not responding dengan hang?,"Not responding berarti proses tidak merespon panggilan sistem operasi setelah batas waktu tertentu, sifatnya recoverable. Hang berarti terjadi deadlock, sifatnya non-recoverable.","not responding : peristiwa yang terjadi ketika sistem operasi memberikan sebuah perintah pada proses (misalnya menutup sebuah jendela), kemudian proses gagal menjalankannya dalam batas waktu tertentu, not responding dapat dikatakan jika sistem operasinya recoverable",5,10,5.00,D,2
111,02,Apakah perbedaan not responding dengan hang?,"Not responding berarti proses tidak merespon panggilan sistem operasi setelah batas waktu tertentu, sifatnya recoverable. Hang berarti terjadi deadlock, sifatnya non-recoverable.","not responding adalah kondisi pada software yang digunakan mengalami kegagalan perintah, jadi software tidak memahami perintah yang diberikan. sedangkan hang adalah kondisi pada komputer yang tidak merespon semua perintah yang diberikan dari keyboard maupun mouse.",3,10,3.00,E,1
112,02,Apakah perbedaan not responding dengan hang?,"Not responding berarti proses tidak merespon panggilan sistem operasi setelah batas waktu tertentu, sifatnya recoverable. Hang berarti terjadi deadlock, sifatnya non-recoverable.","Not responding adalah suatu keadaan ketika OS meminta software/program untuk menjalankan suatu perintah dan program gagal untuk menjalankan permintaan tersebut dalam waktu tertentu maka program akan mengalami ""Not Responding"" sedangkan jika program tersebut tidak pernah keluar dari keadaan tersebut maka program tersebut mengalami ""hung""",8,10,8.00,B,4
113,02,Apakah perbedaan not responding dengan hang?,"Not responding berarti proses tidak merespon panggilan sistem operasi setelah batas waktu tertentu, sifatnya recoverable. Hang berarti terjadi deadlock, sifatnya non-recoverable.","Not Responding adalah suatu keadaan dimana software yang dugunakan mengalami kegagalan perintah, dan mengakibatkan software tersebut tidak dapat memahami apa yang diperintahkan; Hang adalah OS yang tidak dapat menanggapi segala perintah yang dimasukkan, tentunya mengarah pada kerusakan komputer.",3,10,3.00,E,1
114,02,Apakah perbedaan not responding dengan hang?,"Not responding berarti proses tidak merespon panggilan sistem operasi setelah batas waktu tertentu, sifatnya recoverable. Hang berarti terjadi deadlock, sifatnya non-recoverable.","Not Responding, suatu keadaan dimana software yang dugunakan mengalami kegagalan perintah dan mengakibatkan software tersebut tidak dapat memahami apa yang diperintahkan, dan komputer pun akan memberikan sebuah pertanyaan apakan mau menunggu atau mengakhiri secara paksa,; ; sedangkan Hang komputer tidak dapat menerima perintah yang dimasukan komputer dan mengarah kepada kerusakan komputer",3,10,3.00,E,1
